invoice_id,invoice_date,posting_date,store_id,customer_id,product_id,quantity,unit_price,gross_amount,discount_amount,net_amount,created_by,store_name,city,region,customer_name,customer_type,join_date
INV000019,2024-01-30,2024-02-01,S001,C024,P003,10,99000,990000,36100.0,953900.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Nanda Permata,Online,2022-10-07
INV000020,2024-07-25,2024-07-25,S005,C032,P019,10,99000,990000,1100.0,988900.0,u_bella,RetailCo Denpasar Point,Denpasar,Bali,Agus Syahputra,Wholesale,2023-12-20
INV000021,2024-08-02,2024-08-05,S005,C073,P017,6,199000,1194000,241900.0,952100.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Iqbal Wijaya,Retail,2021-05-21
INV000022,2024-12-08,2024-12-11,S003,C031,P009,7,149000,1043000,87800.0,955200.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Dian Syahputra,Retail,2023-02-28
INV000023,2024-08-22,2024-08-23,S001,C002,P015,10,299000,2990000,313100.0,2676900.0,u_bella,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Putri Hidayat,Retail,2021-07-29
INV000024,2024-02-07,2024-02-09,S002,C065,P009,3,199000,597000,200.0,596800.0,u_bella,RetailCo Mall Bandung,Bandung,Jawa Barat,Putri Kusuma,Wholesale,2023-09-22
INV000025,2024-05-05,2024-05-06,S003,C021,P015,9,349000,3141000,194400.0,2946600.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Agus Utomo,Online,2022-03-26
INV000026,2024-11-09,2024-11-12,S005,C002,P022,9,199000,1791000,193000.0,1598000.0,u_bella,RetailCo Denpasar Point,Denpasar,Bali,Putri Hidayat,Retail,2021-07-29
INV000027,2024-03-09,2024-03-10,S001,C014,P024,9,149000,1341000,26100.0,1314900.0,u_eka,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Oktaviani Wibowo,Online,2022-01-29
INV000028,2024-05-24,2024-05-26,S002,C044,P007,5,299000,1495000,188800.0,1306200.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Indra Suryani,Online,2023-09-01
INV000029,2024-05-08,2024-05-08,S001,C055,P009,1,99000,99000,5700.0,93300.0,u_fajar,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Lukman Permata,Wholesale,2022-05-13
INV000030,2024-03-07,2024-03-10,S003,C021,P024,8,299000,2392000,190400.0,2201600.0,u_gita,RetailCo Surabaya Center,Surabaya,Jawa Timur,Agus Utomo,Online,2022-03-26
INV000031,2024-10-14,2024-10-14,S001,C010,P023,3,299000,897000,51900.0,845100.0,u_andika,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Wahyu Saputra,Retail,2023-02-18
INV000032,2024-07-08,2024-07-10,S005,C019,P014,3,99000,297000,68200.0,228800.0,u_eka,RetailCo Denpasar Point,Denpasar,Bali,Sari Wijaya,Online,2021-12-17
INV000033,2024-07-05,2024-07-05,S003,C027,P022,4,349000,1396000,138300.0,1257700.0,u_bella,RetailCo Surabaya Center,Surabaya,Jawa Timur,Kurniasih Anindya,Wholesale,2023-05-28
INV000034,2024-06-30,2024-07-02,S004,C080,P024,3,149000,447000,11600.0,435400.0,u_citra,RetailCo Medan Square,Medan,Sumatera Utara,Utami Ramadhani,Wholesale,2021-05-29
INV000035,2024-03-31,2024-04-01,S001,C023,P024,6,249000,1494000,235400.0,1258600.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Vina Kurniawan,Wholesale,2021-05-16
INV000036,2024-05-16,2024-05-16,S001,C049,P002,8,149000,1192000,17300.0,1174700.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Putri Hidayat,Retail,2022-11-24
INV000037,2024-08-23,2024-08-24,S003,C030,P008,1,349000,349000,40000.0,309000.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Dewi Saputra,Retail,2021-11-24
INV000038,2024-07-23,2024-07-24,S003,C009,P025,5,199000,995000,0.0,995000.0,u_gita,RetailCo Surabaya Center,Surabaya,Jawa Timur,Wahyu Utomo,Retail,2022-03-17
INV000039,2024-12-13,2024-12-15,S003,C004,P004,5,149000,745000,5200.0,739800.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Citra Santoso,Retail,2022-03-24
INV000040,2024-01-20,2024-01-20,S005,C056,P012,6,249000,1494000,170000.0,1324000.0,u_bella,RetailCo Denpasar Point,Denpasar,Bali,Galih Mahendra,Retail,2021-07-13
INV000041,2024-07-16,2024-07-18,S002,C033,P002,7,99000,693000,105100.0,587900.0,u_dwi,RetailCo Mall Bandung,Bandung,Jawa Barat,Rizky Anindya,Retail,2021-08-23
INV000042,2024-07-05,2024-07-06,S001,C043,P020,6,349000,2094000,234500.0,1859500.0,u_bella,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Fajar Pangestu,Retail,2023-12-27
INV000043,2024-06-02,2024-06-04,S003,C053,P011,7,349000,2443000,224500.0,2218500.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Wahyu Wijaya,Online,2022-05-03
INV000044,2024-10-10,2024-10-10,S002,C054,P022,7,349000,2443000,192800.0,2250200.0,u_citra,RetailCo Mall Bandung,Bandung,Jawa Barat,Sari Pangestu,Retail,2021-09-28
INV000045,2024-11-11,2024-11-13,S003,C052,P018,1,199000,199000,0.0,199000.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Dewi Hidayat,Retail,2021-03-06
INV000046,2024-04-17,2024-04-18,S005,C078,P021,6,249000,1494000,74100.0,1419900.0,u_hanif,RetailCo Denpasar Point,Denpasar,Bali,Vina Utomo,Retail,2022-10-06
INV000047,2024-08-14,2024-08-17,S002,C066,P016,3,349000,1047000,70900.0,976100.0,u_bella,RetailCo Mall Bandung,Bandung,Jawa Barat,Galih Putra,Wholesale,2021-05-01
INV000048,2024-05-25,2024-05-27,S005,C043,P003,4,349000,1396000,242900.0,1153100.0,u_eka,RetailCo Denpasar Point,Denpasar,Bali,Fajar Pangestu,Retail,2023-12-27
INV000049,2024-04-25,2024-04-25,S002,C004,P002,4,249000,996000,123600.0,872400.0,u_bella,RetailCo Mall Bandung,Bandung,Jawa Barat,Citra Santoso,Retail,2022-03-24
INV000050,2024-08-21,2024-08-22,S005,C025,P023,7,249000,1743000,0.0,1743000.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Nanda Pangestu,Wholesale,2023-07-29
INV000051,2024-05-04,2024-05-04,S001,C014,P025,7,149000,1043000,128000.0,915000.0,u_citra,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Oktaviani Wibowo,Online,2022-01-29
INV000052,2024-12-22,2024-12-24,S004,C007,P018,4,99000,396000,28900.0,367100.0,u_hanif,RetailCo Medan Square,Medan,Sumatera Utara,Oki Ramadhani,Online,2022-07-24
INV000053,2024-03-09,2024-03-10,S005,C072,P020,6,249000,1494000,78600.0,1415400.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Iqbal Fauziah,Retail,2021-04-27
INV000054,2024-10-07,2024-10-08,S002,C061,P015,5,149000,745000,106400.0,638600.0,u_eka,RetailCo Mall Bandung,Bandung,Jawa Barat,Kurnia Ramadhani,Retail,2023-05-15
INV000055,2024-09-23,2024-09-24,S002,C036,P015,2,349000,698000,120200.0,577800.0,u_eka,RetailCo Mall Bandung,Bandung,Jawa Barat,Farhan Santoso,Online,2022-06-24
INV000056,2024-04-30,2024-05-01,S003,C041,P018,2,149000,298000,49200.0,248800.0,u_citra,RetailCo Surabaya Center,Surabaya,Jawa Timur,Budi Saputra,Wholesale,2022-09-22
INV000057,2024-04-28,2024-04-29,S002,C028,P003,7,249000,1743000,71900.0,1671100.0,u_fajar,RetailCo Mall Bandung,Bandung,Jawa Barat,Mega Kurniawan,Wholesale,2022-03-26
INV000058,2024-10-04,2024-10-05,S004,C008,P007,7,249000,1743000,136600.0,1606400.0,u_andika,RetailCo Medan Square,Medan,Sumatera Utara,Andi Kusuma,Online,2023-05-16
INV000059,2024-10-21,2024-10-22,S004,C001,P012,5,249000,1245000,153400.0,1091600.0,u_gita,RetailCo Medan Square,Medan,Sumatera Utara,Hadi Santoso,Online,2022-07-18
INV000060,2024-10-02,2024-10-05,S005,C078,P008,8,149000,1192000,200600.0,991400.0,u_eka,RetailCo Denpasar Point,Denpasar,Bali,Vina Utomo,Retail,2022-10-06
INV000061,2024-08-11,2024-08-12,S001,C050,P011,7,349000,2443000,162400.0,2280600.0,u_citra,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Budi Permata,Online,2022-04-17
INV000062,2024-08-27,2024-08-27,S005,C069,P001,7,299000,2093000,182100.0,1910900.0,u_andika,RetailCo Denpasar Point,Denpasar,Bali,Kurniasih Pangestu,Retail,2022-01-24
INV000063,2024-02-12,2024-02-15,S004,C018,P015,3,99000,297000,6700.0,290300.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Kartika Wibowo,Wholesale,2022-03-06
INV000064,2024-07-13,2024-07-14,S002,C059,P011,6,249000,1494000,24300.0,1469700.0,u_eka,RetailCo Mall Bandung,Bandung,Jawa Barat,Gita Pratama,Wholesale,2022-11-26
INV000065,2024-08-03,2024-08-04,S001,C061,P001,9,99000,891000,139800.0,751200.0,u_fajar,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Kurnia Ramadhani,Retail,2023-05-15
INV000066,2024-04-24,2024-04-27,S001,C006,P025,1,149000,149000,29000.0,120000.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Kurniasih Putra,Online,2023-05-10
INV000067,2024-01-11,2024-01-13,S002,C031,P005,8,349000,2792000,265100.0,2526900.0,u_bella,RetailCo Mall Bandung,Bandung,Jawa Barat,Dian Syahputra,Retail,2023-02-28
INV000068,2024-10-15,2024-10-15,S004,C033,P025,6,149000,894000,152200.0,741800.0,u_bella,RetailCo Medan Square,Medan,Sumatera Utara,Rizky Anindya,Retail,2021-08-23
INV000069,2024-03-24,2024-03-25,S001,C075,P001,5,299000,1495000,187300.0,1307700.0,u_gita,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Bayu Saputra,Online,2022-05-20
INV000070,2024-07-22,2024-07-25,S002,C010,P019,4,99000,396000,21700.0,374300.0,u_eka,RetailCo Mall Bandung,Bandung,Jawa Barat,Wahyu Saputra,Retail,2023-02-18
INV000071,2024-12-16,2024-12-18,S001,C073,P002,6,299000,1794000,224800.0,1569200.0,u_gita,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Iqbal Wijaya,Retail,2021-05-21
INV000072,2024-12-04,2024-12-05,S001,C065,P021,6,99000,594000,123400.0,470600.0,u_gita,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Putri Kusuma,Wholesale,2023-09-22
INV000073,2024-09-07,2024-09-07,S004,C047,P021,8,349000,2792000,272200.0,2519800.0,u_citra,RetailCo Medan Square,Medan,Sumatera Utara,Utami Kurniawan,Online,2023-02-04
INV000074,2024-08-10,2024-08-10,S005,C035,P020,9,249000,2241000,469500.0,1771500.0,u_hanif,RetailCo Denpasar Point,Denpasar,Bali,Hadi Rahmawati,Wholesale,2021-11-20
INV000075,2024-08-11,2024-08-14,S005,C035,P011,4,99000,396000,0.0,396000.0,u_eka,RetailCo Denpasar Point,Denpasar,Bali,Hadi Rahmawati,Wholesale,2021-11-20
INV000076,2024-08-18,2024-08-18,S004,C073,P020,7,199000,1393000,219400.0,1173600.0,u_andika,RetailCo Medan Square,Medan,Sumatera Utara,Iqbal Wijaya,Retail,2021-05-21
INV000077,2024-09-10,2024-09-11,S002,C063,P007,6,199000,1194000,126700.0,1067300.0,u_fajar,RetailCo Mall Bandung,Bandung,Jawa Barat,Eka Ramadhani,Online,2021-07-20
INV000078,2024-05-23,2024-05-25,S003,C072,P001,9,149000,1341000,106000.0,1235000.0,u_bella,RetailCo Surabaya Center,Surabaya,Jawa Timur,Iqbal Fauziah,Retail,2021-04-27
INV000079,2024-05-03,2024-05-06,S004,C063,P018,4,349000,1396000,148600.0,1247400.0,u_hanif,RetailCo Medan Square,Medan,Sumatera Utara,Eka Ramadhani,Online,2021-07-20
INV000080,2024-11-26,2024-11-29,S004,C058,P001,2,199000,398000,0.0,398000.0,u_dwi,RetailCo Medan Square,Medan,Sumatera Utara,Cahya Ramadhani,Online,2021-04-21
INV000081,2024-07-26,2024-07-29,S002,C040,P022,10,199000,1990000,168400.0,1821600.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Andi Syahputra,Wholesale,2023-09-28
INV000082,2024-10-10,2024-10-12,S003,C055,P024,9,199000,1791000,223900.0,1567100.0,u_fajar,RetailCo Surabaya Center,Surabaya,Jawa Timur,Lukman Permata,Wholesale,2022-05-13
INV000083,2024-12-25,2024-12-26,S003,C040,P009,4,99000,396000,80600.0,315400.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Andi Syahputra,Wholesale,2023-09-28
INV000084,2024-06-10,2024-06-10,S005,C024,P007,4,349000,1396000,89000.0,1307000.0,u_hanif,RetailCo Denpasar Point,Denpasar,Bali,Nanda Permata,Online,2022-10-07
INV000085,2024-05-21,2024-05-24,S005,C068,P020,5,99000,495000,21500.0,473500.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Rizky Ramadhani,Wholesale,2023-05-17
INV000086,2024-05-31,2024-05-31,S003,C023,P010,1,349000,349000,22600.0,326400.0,u_citra,RetailCo Surabaya Center,Surabaya,Jawa Timur,Vina Kurniawan,Wholesale,2021-05-16
INV000087,2024-05-20,2024-05-20,S001,C071,P010,3,349000,1047000,171800.0,875200.0,u_hanif,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Vina Pratama,Retail,2023-09-04
INV000088,2024-02-22,2024-02-22,S005,C037,P016,8,249000,1992000,245000.0,1747000.0,u_fajar,RetailCo Denpasar Point,Denpasar,Bali,Iqbal Kusuma,Online,2021-08-06
INV000089,2024-04-04,2024-04-04,S003,C062,P004,2,249000,498000,31300.0,466700.0,u_hanif,RetailCo Surabaya Center,Surabaya,Jawa Timur,Lestari Utomo,Wholesale,2022-05-27
INV000090,2024-02-07,2024-02-09,S001,C020,P005,10,199000,1990000,270500.0,1719500.0,u_bella,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Kurnia Hidayat,Retail,2023-08-05
INV000091,2024-05-07,2024-05-07,S005,C054,P020,10,299000,2990000,319300.0,2670700.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Sari Pangestu,Retail,2021-09-28
INV000092,2024-09-24,2024-09-25,S004,C057,P010,10,249000,2490000,417800.0,2072200.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Gita Mahendra,Wholesale,2023-05-18
INV000093,2024-10-18,2024-10-20,S001,C079,P024,2,149000,298000,15200.0,282800.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Putri Utomo,Wholesale,2021-09-26
INV000094,2024-05-15,2024-05-18,S001,C021,P008,3,299000,897000,69100.0,827900.0,u_bella,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Agus Utomo,Online,2022-03-26
INV000095,2024-03-21,2024-03-21,S004,C058,P023,10,249000,2490000,180700.0,2309300.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Cahya Ramadhani,Online,2021-04-21
INV000096,2024-01-17,2024-01-17,S003,C037,P023,8,99000,792000,0.0,792000.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Iqbal Kusuma,Online,2021-08-06
INV000097,2024-05-15,2024-05-18,S005,C026,P014,2,299000,598000,72200.0,525800.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Joko Utomo,Retail,2022-05-21
INV000098,2024-11-27,2024-11-27,S003,C019,P003,1,149000,149000,17600.0,131400.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Sari Wijaya,Online,2021-12-17
INV000099,2024-10-31,2024-11-03,S005,C037,P015,2,249000,498000,50000.0,448000.0,u_eka,RetailCo Denpasar Point,Denpasar,Bali,Iqbal Kusuma,Online,2021-08-06
INV000100,2024-12-24,2024-12-25,S003,C065,P018,8,249000,1992000,166500.0,1825500.0,u_bella,RetailCo Surabaya Center,Surabaya,Jawa Timur,Putri Kusuma,Wholesale,2023-09-22
INV000101,2024-11-02,2024-11-02,S004,C042,P020,5,99000,495000,500.0,494500.0,u_bella,RetailCo Medan Square,Medan,Sumatera Utara,Putri Pratama,Retail,2021-06-11
INV000102,2024-04-27,2024-04-30,S005,C076,P001,5,299000,1495000,105500.0,1389500.0,u_andika,RetailCo Denpasar Point,Denpasar,Bali,Mega Syahputra,Retail,2021-06-17
INV000103,2024-03-30,2024-03-31,S005,C057,P009,3,299000,897000,68200.0,828800.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Gita Mahendra,Wholesale,2023-05-18
INV000104,2024-11-21,2024-11-22,S001,C061,P012,7,199000,1393000,61100.0,1331900.0,u_fajar,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Kurnia Ramadhani,Retail,2023-05-15
INV000105,2024-12-09,2024-12-09,S002,C043,P014,8,199000,1592000,141200.0,1450800.0,u_gita,RetailCo Mall Bandung,Bandung,Jawa Barat,Fajar Pangestu,Retail,2023-12-27
INV000106,2024-10-08,2024-10-08,S004,C012,P011,5,199000,995000,127600.0,867400.0,u_bella,RetailCo Medan Square,Medan,Sumatera Utara,Citra Ramadhani,Online,2021-09-13
INV000107,2024-07-25,2024-07-27,S001,C070,P015,7,99000,693000,160800.0,532200.0,u_dwi,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Teguh Putra,Retail,2021-05-05
INV000108,2024-09-22,2024-09-23,S005,C064,P021,8,99000,792000,88900.0,703100.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Dewi Anindya,Retail,2021-07-11
INV000109,2024-05-16,2024-05-18,S002,C037,P015,8,99000,792000,93500.0,698500.0,u_andika,RetailCo Mall Bandung,Bandung,Jawa Barat,Iqbal Kusuma,Online,2021-08-06
INV000110,2024-11-18,2024-11-20,S002,C021,P010,9,99000,891000,84500.0,806500.0,u_gita,RetailCo Mall Bandung,Bandung,Jawa Barat,Agus Utomo,Online,2022-03-26
INV000111,2024-02-17,2024-02-17,S001,C060,P004,3,249000,747000,0.0,747000.0,u_eka,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Gita Hidayat,Retail,2022-01-25
INV000112,2024-09-17,2024-09-20,S003,C054,P016,8,149000,1192000,117000.0,1075000.0,u_hanif,RetailCo Surabaya Center,Surabaya,Jawa Timur,Sari Pangestu,Retail,2021-09-28
INV000113,2024-10-09,2024-10-09,S004,C025,P020,9,349000,3141000,327300.0,2813700.0,u_citra,RetailCo Medan Square,Medan,Sumatera Utara,Nanda Pangestu,Wholesale,2023-07-29
INV000114,2024-02-05,2024-02-06,S004,C044,P017,5,99000,495000,134900.0,360100.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Indra Suryani,Online,2023-09-01
INV000115,2024-06-01,2024-06-03,S005,C063,P005,8,299000,2392000,207000.0,2185000.0,u_hanif,RetailCo Denpasar Point,Denpasar,Bali,Eka Ramadhani,Online,2021-07-20
INV000116,2024-06-25,2024-06-26,S005,C070,P013,8,199000,1592000,192800.0,1399200.0,u_dwi,RetailCo Denpasar Point,Denpasar,Bali,Teguh Putra,Retail,2021-05-05
INV000117,2024-12-23,2024-12-23,S005,C050,P008,7,99000,693000,67600.0,625400.0,u_fajar,RetailCo Denpasar Point,Denpasar,Bali,Budi Permata,Online,2022-04-17
INV000118,2024-08-30,2024-09-02,S004,C050,P022,3,249000,747000,13600.0,733400.0,u_andika,RetailCo Medan Square,Medan,Sumatera Utara,Budi Permata,Online,2022-04-17
INV000119,2024-03-05,2024-03-07,S005,C043,P004,8,99000,792000,142600.0,649400.0,u_hanif,RetailCo Denpasar Point,Denpasar,Bali,Fajar Pangestu,Retail,2023-12-27
INV000120,2024-01-08,2024-01-11,S002,C053,P021,3,99000,297000,45300.0,251700.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Wahyu Wijaya,Online,2022-05-03
INV000121,2024-05-15,2024-05-16,S005,C051,P021,2,199000,398000,61800.0,336200.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Mega Hidayat,Retail,2021-05-26
INV000122,2024-06-11,2024-06-14,S004,C070,P002,10,99000,990000,36000.0,954000.0,u_dwi,RetailCo Medan Square,Medan,Sumatera Utara,Teguh Putra,Retail,2021-05-05
INV000123,2024-11-19,2024-11-22,S003,C030,P024,2,249000,498000,98700.0,399300.0,u_bella,RetailCo Surabaya Center,Surabaya,Jawa Timur,Dewi Saputra,Retail,2021-11-24
INV000124,2024-11-20,2024-11-23,S001,C057,P006,5,99000,495000,900.0,494100.0,u_andika,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Gita Mahendra,Wholesale,2023-05-18
INV000125,2024-06-15,2024-06-15,S003,C046,P012,7,149000,1043000,147100.0,895900.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Nadia Mahendra,Retail,2022-02-16
INV000126,2024-09-28,2024-09-29,S005,C024,P006,3,99000,297000,75200.0,221800.0,u_gita,RetailCo Denpasar Point,Denpasar,Bali,Nanda Permata,Online,2022-10-07
INV000127,2024-11-13,2024-11-16,S002,C064,P019,3,149000,447000,13700.0,433300.0,u_hanif,RetailCo Mall Bandung,Bandung,Jawa Barat,Dewi Anindya,Retail,2021-07-11
INV000128,2024-11-22,2024-11-23,S004,C033,P022,1,249000,249000,15000.0,234000.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Rizky Anindya,Retail,2021-08-23
INV000129,2024-12-12,2024-12-14,S002,C010,P015,6,299000,1794000,191900.0,1602100.0,u_eka,RetailCo Mall Bandung,Bandung,Jawa Barat,Wahyu Saputra,Retail,2023-02-18
INV000130,2024-11-23,2024-11-24,S003,C059,P010,4,249000,996000,64500.0,931500.0,u_hanif,RetailCo Surabaya Center,Surabaya,Jawa Timur,Gita Pratama,Wholesale,2022-11-26
INV000131,2024-02-24,2024-02-24,S004,C074,P012,10,199000,1990000,0.0,1990000.0,u_eka,RetailCo Medan Square,Medan,Sumatera Utara,Nadia Wijaya,Online,2022-04-27
INV000132,2024-01-12,2024-01-15,S004,C036,P001,10,349000,3490000,365700.0,3124300.0,u_andika,RetailCo Medan Square,Medan,Sumatera Utara,Farhan Santoso,Online,2022-06-24
INV000133,2024-11-06,2024-11-09,S004,C037,P025,4,299000,1196000,30700.0,1165300.0,u_fajar,RetailCo Medan Square,Medan,Sumatera Utara,Iqbal Kusuma,Online,2021-08-06
INV000134,2024-04-22,2024-04-25,S002,C080,P009,3,349000,1047000,139400.0,907600.0,u_bella,RetailCo Mall Bandung,Bandung,Jawa Barat,Utami Ramadhani,Wholesale,2021-05-29
INV000135,2024-11-17,2024-11-20,S001,C040,P015,1,299000,299000,10700.0,288300.0,u_fajar,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Andi Syahputra,Wholesale,2023-09-28
INV000136,2024-03-08,2024-03-08,S003,C042,P024,7,149000,1043000,217500.0,825500.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Putri Pratama,Retail,2021-06-11
INV000137,2024-03-08,2024-03-10,S003,C068,P017,5,149000,745000,33700.0,711300.0,u_eka,RetailCo Surabaya Center,Surabaya,Jawa Timur,Rizky Ramadhani,Wholesale,2023-05-17
INV000138,2024-09-03,2024-09-04,S003,C015,P015,2,149000,298000,23100.0,274900.0,u_dwi,RetailCo Surabaya Center,Surabaya,Jawa Timur,Eka Pratama,Online,2022-04-12
INV000139,2024-12-12,2024-12-15,S004,C072,P012,2,249000,498000,78200.0,419800.0,u_andika,RetailCo Medan Square,Medan,Sumatera Utara,Iqbal Fauziah,Retail,2021-04-27
INV000140,2024-05-15,2024-05-17,S001,C059,P012,5,299000,1495000,20700.0,1474300.0,u_gita,RetailCo Plaza Jakarta,Jakarta,Jabodetabek,Gita Pratama,Wholesale,2022-11-26
